title_bn,title_ar,arabic_text,transliteration_bn,translation_bn,reference,category_slug,is_featured,is_active
আয়াতুল কুরসি,آية الكرسي,"اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ الْحَيُّ الْقَيُّومُ ۚ لَا تَأْخُذُهُ سِنَةٌ وَلَا نَوْمٌ ۚ لَّهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۗ مَن ذَا الَّذِي يَشْفَعُ عِندَهُ إِلَّا بِإِذْنِهِ ۚ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ ۖ وَلَا يُحِيطُونَ بِشَيْءٍ مِّنْ عِلْمِهِ إِلَّا بِمَا شَاءَ ۚ وَسِعَ كُرْسِيُّهُ السَّمَاوَاتِ وَالْأَرْضَ ۖ وَلَا يَئُودُهُ حِفْظُهُمَا ۚ وَهُوَ الْعَلِيُّ الْعَظِيمُ","আল্লাহু লা ইলাহা ইল্লা হুওয়াল হাইয়্যুল কাইয়্যুম। লা তা'খুযুহু সিনাতুঁও ওয়ালা নাউম। লাহু মা ফিস সামাওয়াতি ওয়া মা ফিল আরদ্ব। মান যাল্লাযী ইয়াশফা'উ ইনদাহু ইল্লা বি ইযনিহি। ইয়া'লামু মা বাইনা আইদিহিম ওয়া মা খালফাহুম। ওয়ালা ইউহিতুনা বিশাইয়িম মিন ইলমিহি ইল্লা বিমা শা'আ। ওয়াসি'আ কুরসিয়্যুহুস সামাওয়াতি ওয়াল আরদ্ব। ওয়ালা ইয়াউদুহু হিফযুহুমা। ওয়া হুওয়াল আলিয়্যুল আযীম।","আল্লাহ, তিনি ছাড়া কোন উপাস্য নেই, তিনি চিরঞ্জীব, সর্বসত্তার ধারক। তাঁকে তন্দ্রা ও নিদ্রা স্পর্শ করে না। আসমান ও যমীনে যা কিছু আছে সব তাঁরই। কে আছে এমন, যে তাঁর অনুমতি ছাড়া তাঁর কাছে সুপারিশ করবে? তিনি জানেন যা তাদের সামনে আছে এবং যা তাদের পেছনে আছে। তাঁর জ্ঞানের কিছুই তারা আয়ত্ত করতে পারে না, তবে যতটুকু তিনি ইচ্ছা করেন। তাঁর কুরসী আসমান ও যমীন পরিব্যাপ্ত করে আছে এবং এ দুটোর রক্ষণাবেক্ষণ তাঁর জন্য বোঝা নয়। তিনি সর্বোচ্চ, মহান।",সূরা আল-বাকারাহ ২:২৫৫,quran,true,true
সূরা আল-ইখলাস,سورة الإخلاص,"قُلْ هُوَ اللَّهُ أَحَدٌ ۝ اللَّهُ الصَّمَدُ ۝ لَمْ يَلِدْ وَلَمْ يُولَدْ ۝ وَلَمْ يَكُن لَّهُ كُفُوًا أَحَدٌ","কুল হুওয়াল্লাহু আহাদ। আল্লাহুস সামাদ। লাম ইয়ালিদ ওয়া লাম ইউলাদ। ওয়া লাম ইয়াকুল্লাহু কুফুওয়ান আহাদ।","বলুন, তিনি আল্লাহ, এক-অদ্বিতীয়। আল্লাহ অমুখাপেক্ষী। তিনি কাউকে জন্ম দেননি এবং কেউ তাঁকে জন্ম দেয়নি। এবং তাঁর সমতুল্য কেউ নেই।",সূরা আল-ইখলাস ১১২:১-৪,quran,true,true
সূরা আল-ফালাক,سورة الفلق,"قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ ۝ مِن شَرِّ مَا خَلَقَ ۝ وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ ۝ وَمِن شَرِّ النَّفَّاثَاتِ فِي الْعُقَدِ ۝ وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ","কুল আ'উযু বিরাব্বিল ফালাক। মিন শাররি মা খালাক। ওয়া মিন শাররি গাসিকিন ইযা ওয়াকাব। ওয়া মিন শাররিন নাফফাসাতি ফিল উকাদ। ওয়া মিন শাররি হাসিদিন ইযা হাসাদ।","বলুন, আমি আশ্রয় চাই প্রভাতের রবের, তিনি যা সৃষ্টি করেছেন তার অনিষ্ট থেকে, এবং অন্ধকার যখন ঘনিয়ে আসে তার অনিষ্ট থেকে, এবং গিরায় ফুঁ দেয়া জাদুকরদের অনিষ্ট থেকে, এবং হিংসুকের অনিষ্ট থেকে যখন সে হিংসা করে।",সূরা আল-ফালাক ১১৩:১-৫,quran,true,true
সূরা আন-নাস,سورة الناس,"قُلْ أَعُوذُ بِرَبِّ النَّاسِ ۝ مَلِكِ النَّاسِ ۝ إِلَٰهِ النَّاسِ ۝ مِن شَرِّ الْوَسْوَاسِ الْخَنَّاسِ ۝ الَّذِي يُوَسْوِسُ فِي صُدُورِ النَّاسِ ۝ مِنَ الْجِنَّةِ وَالنَّاسِ","কুল আ'উযু বিরাব্বিন নাস। মালিকিন নাস। ইলাহিন নাস। মিন শাররিল ওয়াসওয়াসিল খান্নাস। আল্লাযী ইউওয়াসবিসু ফী সুদূরিন নাস। মিনাল জিন্নাতি ওয়ান নাস।","বলুন, আমি আশ্রয় চাই মানুষের রবের, মানুষের মালিকের, মানুষের ইলাহের, কুমন্ত্রণাদাতা, যে আত্মগোপনকারী, যে কুমন্ত্রণা দেয় মানুষের অন্তরে, জিন ও মানুষের মধ্য থেকে।",সূরা আন-নাস ১১৪:১-৬,quran,true,true
দুআ-এ-কুনূত,دعاء القنوت,"اللَّهُمَّ إِنَّا نَسْتَعِينُكَ وَنَسْتَغْفِرُكَ وَنُؤْمِنُ بِكَ وَنَتَوَكَّلُ عَلَيْكَ وَنُثْنِي عَلَيْكَ الْخَيْرَ كُلَّهُ نَشْكُرُكَ وَلَا نَكْفُرُكَ وَنَخْلَعُ وَنَتْرُكُ مَنْ يَفْجُرُكَ ۝ اللَّهُمَّ إِيَّاكَ نَعْبُدُ وَلَكَ نُصَلِّي وَنَسْجُدُ وَإِلَيْكَ نَسْعَى وَنَحْفِدُ نَرْجُو رَحْمَتَكَ وَنَخْشَى عَذَابَكَ إِنَّ عَذَابَكَ بِالْكُفَّارِ مُلْحِقٌ","আল্লাহুম্মা ইন্না নাসতা'ঈনুকা ওয়া নাসতাগফিরুকা ওয়া নু'মিনু বিকা ওয়া নাতাওয়াক্কালু আলাইকা ওয়া নুসনী আলাইকাল খাইরা কুল্লাহু নাশকুরুকা ওয়ালা নাকফুরুকা ওয়া নাখলা'উ ওয়া নাতরুকু মাইঁ ইয়াফজুরুকা। আল্লাহুম্মা ইয়্যাকা না'বুদু ওয়া লাকা নুসাল্লী ওয়া নাসজুদু ওয়া ইলাইকা নাস'আ ওয়া নাহফিদু নারজু রাহমাতাকা ওয়া নাখশা আযাবাকা ইন্না আযাবাকা বিল কুফফারি মুলহিক।","হে আল্লাহ! আমরা তোমার সাহায্য প্রার্থনা করি, তোমার কাছে ক্ষমা চাই, তোমার প্রতি ঈমান রাখি, তোমার উপর ভরসা করি এবং সকল কল্যাণের জন্য তোমার প্রশংসা করি। আমরা তোমার কৃতজ্ঞ এবং অকৃতজ্ঞ নই। আমরা তাদের পরিত্যাগ করি যারা তোমার অবাধ্য। হে আল্লাহ! আমরা শুধু তোমারই ইবাদত করি, তোমার জন্যই নামাজ পড়ি ও সিজদা করি এবং তোমার দিকেই ধাবিত হই। আমরা তোমার রহমতের আশা করি এবং তোমার শাস্তিকে ভয় করি। নিশ্চয়ই তোমার শাস্তি কাফেরদের জন্য নির্ধারিত।",হাদিস,salah,true,true
ফাতিমার তাসবীহ,تسبيح فاطمة,"اللَّهُ أَكْبَرُ (৩৪ বার) ۝ الْحَمْدُ لِلَّهِ (৩৩ বার) ۝ سُبْحَانَ اللَّهِ (৩৩ বার)","আল্লাহু আকবার (৩৪ বার), আলহামদুলিল্লাহ (৩৩ বার), সুবহানাল্লাহ (৩৩ বার)","আল্লাহু আকবার (৩৪ বার) - আল্লাহ সর্বশ্রেষ্ঠ। আলহামদুলিল্লাহ (৩৩ বার) - সমস্ত প্রশংসা আল্লাহর জন্য। সুবহানাল্লাহ (৩৩ বার) - আল্লাহ পবিত্র মহান।",হাদিস,dhikr,true,true
সকালের দুআ,دعاء الصباح,"أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ وَالْحَمْدُ لِلَّهِ لَا إِلَٰهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ","আসবাহনা ওয়া আসবাহাল মুলকু লিল্লাহি ওয়ালহামদু লিল্লাহি লা ইলাহা ইল্লাল্লাহু ওয়াহদাহু লা শারীকা লাহু লাহুল মুলকু ওয়া লাহুল হামদু ওয়া হুওয়া আলা কুল্লি শাইয়িন কাদীর।","আমরা সকালে উপনীত হয়েছি এবং সাথে সাথে সমস্ত রাজত্ব আল্লাহর। সমস্ত প্রশংসা আল্লাহর। আল্লাহ ছাড়া কোন উপাস্য নেই, তিনি একক, তাঁর কোন শরীক নেই। রাজত্ব তাঁরই এবং প্রশংসা তাঁরই, এবং তিনি সব কিছুর উপর ক্ষমতাবান।",হাদিস,daily,true,true
সন্ধ্যার দুআ,دعاء المساء,"أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ وَالْحَمْدُ لِلَّهِ لَا إِلَٰهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ","আমসাইনা ওয়া আমসাল মুলকু লিল্লাহি ওয়ালহামদু লিল্লাহি লা ইলাহা ইল্লাল্লাহু ওয়াহদাহু লা শারীকা লাহু লাহুল মুলকু ওয়া লাহুল হামদু ওয়া হুওয়া আলা কুল্লি শাইয়িন কাদীর।","আমরা সন্ধ্যায় উপনীত হয়েছি এবং সাথে সাথে সমস্ত রাজত্ব আল্লাহর। সমস্ত প্রশংসা আল্লাহর। আল্লাহ ছাড়া কোন উপাস্য নেই, তিনি একক, তাঁর কোন শরীক নেই। রাজত্ব তাঁরই এবং প্রশংসা তাঁরই, এবং তিনি সব কিছুর উপর ক্ষমতাবান।",হাদিস,daily,true,true
ঘুমানোর আগের দুআ,دعاء النوم,"بِاسْمِكَ اللَّهُمَّ أَمُوتُ وَأَحْيَا","বিসমিকা আল্লাহুম্মা আমূতু ওয়া আহইয়া।","তোমার নামে হে আল্লাহ আমি মরি এবং বাঁচি।",হাদিস,daily,true,true
ঘুম থেকে ওঠার দুআ,دعاء الاستيقاظ,"الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ","আলহামদু লিল্লাহিল্লাযী আহইয়ানা বা'দা মা আমাতানা ওয়া ইলাইহিন নুশূর।","সমস্ত প্রশংসা আল্লাহর যিনি আমাদের মৃত্যুর পর জীবন দান করেছেন এবং তাঁর কাছেই পুনরুত্থান।",হাদিস,daily,true,true
খাবারের আগের দুআ,دعاء قبل الطعام,"بِسْمِ اللَّهِ وَعَلَىٰ بَرَكَةِ اللَّهِ","বিসমিল্লাহি ওয়া আলা বারাকাতিল্লাহ।","আল্লাহর নামে এবং আল্লাহর বরকতে।",হাদিস,daily,false,true
খাবারের পরের দুআ,دعاء بعد الطعام,"الْحَمْدُ لِلَّهِ الَّذِي أَطْعَمَنَا وَسَقَانَا وَجَعَلَنَا مُسْلِمِينَ","আলহামদু লিল্লাহিল্লাযী আত'আমানা ওয়া সাকানা ওয়া জা'আলানা মুসলিমীন।","সমস্ত প্রশংসা আল্লাহর যিনি আমাদের খাওয়ালেন, পান করালেন এবং আমাদের মুসলিম বানালেন।",হাদিস,daily,false,true
বাড়ি থেকে বের হওয়ার দুআ,دعاء الخروج من المنزل,"بِسْمِ اللَّهِ تَوَكَّلْتُ عَلَى اللَّهِ وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ","বিসমিল্লাহি তাওয়াক্কালতু আলাল্লাহি ওয়ালা হাওলা ওয়ালা কুওয়্যাতা ইল্লা বিল্লাহ।","আল্লাহর নামে, আমি আল্লাহর উপর ভরসা করলাম। আল্লাহ ছাড়া কোন শক্তি ও ক্ষমতা নেই।",হাদিস,daily,false,true
বাড়িতে প্রবেশের দুআ,دعاء دخول المنزل,"بِسْمِ اللَّهِ وَلَجْنَا وَبِسْمِ اللَّهِ خَرَجْنَا وَعَلَى اللَّهِ رَبِّنَا تَوَكَّلْنَا","বিসমিল্লাহি ওয়ালাজনা ওয়া বিসমিল্লাহি খারাজনা ওয়া আলাল্লাহি রাব্বিনা তাওয়াক্কালনা।","আল্লাহর নামে আমরা প্রবেশ করলাম, আল্লাহর নামে আমরা বের হলাম এবং আমাদের রব আল্লাহর উপর আমরা ভরসা করলাম।",হাদিস,daily,false,true
মসজিদে প্রবেশের দুআ,دعاء دخول المسجد,"اللَّهُمَّ افْتَحْ لِي أَبْوَابَ رَحْمَتِكَ","আল্লাহুম্মাফতাহ লী আবওয়াবা রাহমাতিক।","হে আল্লাহ! আমার জন্য তোমার রহমতের দরজা খুলে দাও।",হাদিস,salah,false,true
মসজিদ থেকে বের হওয়ার দুআ,دعاء الخروج من المسجد,"اللَّهُمَّ إِنِّي أَسْأَلُكَ مِنْ فَضْلِكَ","আল্লাহুম্মা ইন্নী আসআলুকা মিন ফাদলিক।","হে আল্লাহ! আমি তোমার অনুগ্রহ প্রার্থনা করি।",হাদিস,salah,false,true
